"id","order_id","client_id","item_id","merchant_id","date_created","item_name","order_notes","normal_price","discounted_price","size","qty","cooking_ref","addon","ingredients","non_taxable"
"330470","147537","1278","4298","53","2020-09-02","15 Pieces Jumbo",,"18800.0000","18800.0000","regular","1",,"[]",,"1"
"330471","147538","16444","349","3","2020-09-02","Veggie Burrito",,"4500.0000","4500.0000","regular","1",,"[{""addon_name"":""Pico de Gallo"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Guacamole"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Cheese"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Honey lime dressing"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Rice"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Beans"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Grilled onions & peppers"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Chips & guacamole"",""addon_category"":""ACCOMPANIMENTS"",""addon_qty"":1,""addon_price"":600}]",,"1"
"330472","147539","2436","680","16","2020-09-02","Paneer Butter Masala",,"6000.0000","6000.0000","regular","1",,"[{""addon_name"":""Mild"",""addon_category"":""Spices"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330473","147539","2436","793","16","2020-09-02","Mutton Biryani",,"6000.0000","6000.0000","regular","1",,"[{""addon_name"":""Mild"",""addon_category"":""Spices"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330474","147539","2436","825","16","2020-09-02","Lachcha Paratha",,"1500.0000","1500.0000","regular","1",,"[]",,"1"
"330475","147540","13808","84","3","2020-09-02","Veggie quesadilla",,"3500.0000","3500.0000","regular","1",,"[{""addon_name"":""Small"",""addon_category"":""Size"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330476","147540","13808","104","3","2020-09-02","Steak quesadilla",,"4500.0000","4500.0000","regular","1",,"[{""addon_name"":""Large"",""addon_category"":""Size"",""addon_qty"":1,""addon_price"":500}]",,"1"
"330477","147540","13808","334","3","2020-09-02","Chicken Burrito Bowl",,"5000.0000","5000.0000","regular","1",,"[{""addon_name"":""Pico de Gallo"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Guacamole"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Cheese"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Medium salsa"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Honey lime dressing"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Grilled onions & peppers"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Plain Chips"",""addon_category"":""Extras"",""addon_qty"":1,""addon_price"":600}]",,"1"
"330478","147541","6318","8887","109","2020-09-02","Taco combo plate",,"24900.0000","24900.0000","regular","1",,"[{""addon_name"":""Carnitas"",""addon_category"":""Choices"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330479","147541","6318","8873","109","2020-09-02","Pork",,"6900.0000","6900.0000","Two","1",,"[]",,"1"
